id,name,water_usage_ton,water_boundary,intensity_water,intensity_water_unit,water_ISO
1101,台泥,2861600.00 ,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),0.5500 ,產品,ISO14046、ISO46001
1102,亞泥,2329000.00 ,亞洲水泥個體公司,0.6690 ,產品,N
1103,嘉泥,192562.00 ,包含合併財務報表之母子公司,0.0850 ,百萬元營業額,N
1104,環泥,297227.22 ,母公司,0.0660 ,公噸/新台幣千元產值,N
1108,幸福,955525.00 ,幸福水泥(股)公司東澳廠,1.6115 ,產品,N
1109,信大,251619.00 ,僅母公司宜蘭南聖湖廠,N/A,N/A,N
1110,東泥,13060.00 ,僅母公司,0.0219 ,總生產量(噸),N
1201,味全,1831919.00 ,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.台中廠 斗六廠為地下水1,245,434公噸佔68%，總公司、中央研究所、營業所、
  高雄廠為自來水586,485公噸佔32%。",226.2800 ,百萬元營業額,N
1203,味王,0.31 ,僅母公司,0.1370 ,百萬元營業額,N
1210,大成,N/A,N/A,N/A,N/A,N
1213,大飲,9000.00 ,地下水與自來水,37.5000 ,每日,其他
1215,卜蜂,1109384.00 ,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N/A,N/A,N
1216,統一,4262517.00 ,僅母公司,920.0000 ,營業收入千萬元,N
1217,愛之味,418537.00 ,母公司自來水用量,57.3400 ,產品,N
1218,泰山,724060.00 ,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,72.2979 ,百萬元營業額,N
1219,福壽,449458.00 ,母公司、子公司,0.0264 ,千元營業額。,ISO 14046 子公司洽富通過水足跡查證
1220,台榮,786000.00 ,本公司雲林廠,6.9780 ,產品,N
1225,福懋油,47643.60 ,母公司,N/A,N/A,N
1227,佳格,662540.00 ,佳格大園廠、中壢廠及佳乳湖口廠,0.4200 ,公噸/萬元營業額,N
1229,聯華,53512.00 ,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",7.2500 ,百萬元營業額,N
1231,聯華食,621920.00 ,臺灣地區各工廠之所有營運相關之活動,0.0577 ,百萬元營業額,N
1232,大統益,353390.00 ,僅母公司,17.4800 ,百萬元營業額,N
1233,天仁,84018.00 ,本公司天仁茶業股份有限公司直營單位,46.0150 ,百萬元營業額,N
1234,黑松,771000.00 ,中壢廠、斗六廠,4.1500 ,產品,N
1235,興泰,3984.00 ,依111年台灣自來水公司使用度數資訊,0.0632 ,千元營業額,N
1236,宏亞,70353.00 ,母子公司,33.0000 ,百萬元營業額,N
1256,鮮活果汁-KY,317572.00 ,子公司：蘇州鮮活飲品股份有限公司、鮮活果汁工業（天津）有限公司、廣東鮮活果汁生物科技有限公司,77.4300 ,千元營業額,台灣證券交易所【上市公司編制與申報永續報告書作業辦法】
1301,台塑,21995920.00 ,母公司,112.7494 ,百萬元營業額,ISO 14046
1303,南亞,15269551.00 ,母公司,0.0900 ,111年個體營業額(千元)。,ISO 14046
1304,台聚,925439.00 ,台聚高雄廠,4.4600 ,產品,ISO 46001
1305,華夏,2886400.00 ,華夏頭份廠、台氯林園廠、華聚林園廠,2.7700 ,產品,ISO 46001
1307,三芳,171700.00 ,母公司,223.0500 ,百萬元營業額,N
1308,亞聚,494813.00 ,亞聚林園廠,3.8000 ,產品,N
1309,台達化,935065.00 ,前鎮廠、林園廠、頭份廠、中山廠,1.0240 ,產品,N
1310,台苯,1270619.00 ,111年高雄廠原水用量,3.6300 ,產品,N
1312,國喬,1894152.00 ,僅母公司,104.2100 ,百萬元營業額,N
1313,聯成,234890.00 ,母公司林園廠,1.9400 ,產品,N
1314,中石化,5936000.00 ,母公司,2371744.0000 ,百萬元營業額,ISO 46001
1315,達新,8294.00 ,母公司,N/A,N/A,N
1316,上曜,3.87 ,包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋,N/A,N/A,N
1319,東陽,777805.00 ,母公司,49.5200 ,百萬元營業額,N
1321,大洋,97.12 ,母公司,0.6595 ,產品,N
