id,name,harmful_trash_ton,harmful_trash_boundary,harmless_trash_ton,harmless_trash_boundary,trash_ton,trash_boundary,intensity_trash,intensity_trash_unit,trash_ISO
1101,台泥,0,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),1363.66,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),1363.66,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),0,產品,ISO 9001
1102,亞泥,0,亞洲水泥個體公司,2654,亞洲水泥個體公司,2654,亞洲水泥個體公司,0.25,百萬元營業額,ISO14001、ISO9001
1103,嘉泥,0,包含合併財務報表之母子公司,344,包含合併財務報表之母子公司,344,包含合併財務報表之母子公司,0,百萬元營業額,N
1104,環泥,0,母公司,16243.73,母公司,16243.73,母公司,0,新台幣千元產值,N
1108,幸福,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1109,信大,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1110,東泥,0,僅母公司,51.14,僅母公司,51.14,僅母公司,0.03,百萬元營業額,N
1201,味全,1.3,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及 
堆肥處理為主、焚化處理次之)
3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。",5378.4,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及 
堆肥處理為主、焚化處理次之)
3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。",5379.7,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。
廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及 
堆肥處理為主、焚化處理次之)
3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。",0.67,百萬元營業額,ISO 14001
1203,味王,N/A,僅母公司,N/A,僅母公司,567.8,僅母公司,0.25,百萬元營業額,N
1210,大成,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1213,大飲,52.13,僅母公司,20,僅母公司,72.13,僅母公司,N/A,N/A,NA
1215,卜蜂,0,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,30571.45,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,30571.45,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N/A,N/A,N
1216,統一,2.26,僅母公司,36403.71,僅母公司,36405.97,僅母公司,7.8,營業收入千萬元,ISO 14001
1217,愛之味,0,"污泥、廢食用油、
菜渣、垃圾、廢紙、寶特瓶等",2346.8,"污泥、廢食用油、
菜渣、垃圾、廢紙、寶特瓶等",2346.8,"污泥、廢食用油、
菜渣、垃圾、廢紙、寶特瓶等",0.32,產品,N
1218,泰山,0,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,1750.54,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,1750.54,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,0.18,百萬元營業額,N
1219,福壽,0.04,母公司、子公司,436.05,母公司、子公司,436.09,母公司、子公司,0,千元營業額。,N
1220,台榮,0,本公司雲林廠,486.18,本公司雲林廠,486.18,本公司雲林廠,0,產品,N
1225,福懋油,0.42,母公司,841.15,母公司,841.57,母公司,N/A,N/A,N
1227,佳格,4,佳格大園廠、中壢廠及佳乳湖口廠,6788,佳格大園廠、中壢廠及佳乳湖口廠,6792,佳格大園廠、中壢廠及佳乳湖口廠,0,公噸/萬元營業額,N
1229,聯華,0,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",322.64,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",322.64,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",0.04,百萬元營業額,N
1231,聯華食,0,臺灣地區的總公司及各工廠之所有營運相關之活動,6775.63,臺灣地區的總公司及各工廠之所有營運相關之活動,6775.63,臺灣地區的總公司及各工廠之所有營運相關之活動,0.63,百萬元營業額,N
1232,大統益,0,僅母公司,1993,僅母公司,1993,僅母公司,0.1,百萬元營業額,ISO 14001
1233,天仁,N/A,本公司天仁茶業股份有限公司直營單位,N/A,本公司天仁茶業股份有限公司直營單位,756.1,本公司天仁茶業股份有限公司直營單位,0.41,百萬元營業額,N
1234,黑松,0.6,中壢廠、斗六廠,2324,中壢廠、斗六廠,2324.6,中壢廠、斗六廠,0.01,產品,N
1235,興泰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1236,宏亞,0,母子公司,607,母子公司,607,母子公司,0.28,百萬元營業額,N
1256,鮮活果汁-KY,12.53,子公司：蘇州鮮活飲品股份有限公司,4930.57,子公司：蘇州鮮活飲品股份有限公司,4943.09,子公司：蘇州鮮活飲品股份有限公司,0,千元營業額,N
1301,台塑,3251,母公司,197023,母公司,200274,母公司,1.03,百萬元營業額,N
1303,南亞,5635.07,母公司,80116.86,母公司,85751.93,母公司,0,111年個體營業額(千元)。,ISO 14001
1304,台聚,63.35,台聚高雄廠,389.27,台聚高雄廠,452.62,台聚高雄廠,0,產品,N
1305,華夏,47,華夏頭份廠、華聚林園廠、台氯林園廠,2812,華夏頭份廠、華聚林園廠、台氯林園廠,2859,華夏頭份廠、華聚林園廠、台氯林園廠,0,產品,ISO 14001
1307,三芳,329,母公司,2030,母公司,2359,母公司,3.06,百萬元營業額,N
1308,亞聚,0,亞聚林園廠,274.44,亞聚林園廠,274.44,亞聚林園廠,0,產品,ISO 14001
1309,台達化,2.1,前鎮廠、林園廠、頭份廠、中山廠,3492.6,前鎮廠、林園廠、頭份廠、中山廠,3494.7,前鎮廠、林園廠、頭份廠、中山廠,0.01,產品,ISO 14001
1310,台苯,0,台苯高雄廠,1594.62,台苯高雄廠,1594.62,台苯高雄廠,0.01,產品,N
1312,國喬,0,僅母公司,1114.71,僅母公司,1114.71,僅母公司,0.06,百萬元營業額,N
1313,聯成,497.64,母公司林園廠,1145.41,母公司林園廠,1643.05,母公司林園廠,0.04,產品,N
1314,中石化,37627,母公司,18552,母公司,56179,母公司,2.24,百萬元營業額,ISO 9001
1315,達新,0,母公司,103,母公司,103,母公司,N/A,N/A,N
1316,上曜,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1319,東陽,382,母公司,3320,母公司,3702,母公司,0.24,百萬元營業額,N
1321,大洋,11.32,母公司,633.93,母公司,645.25,母公司,0,產品,N
